epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
1,0.574103057384491,0.5581328868865967,0.5791433453559875,0.5933367013931274,0.5694721341133118,0.5557634830474854,0.5625592470169067,0.5757912993431091,0.5690710544586182,0.562460720539093,0.5699833929538727
2,0.7447069883346558,0.7387149333953857,0.7442278265953064,0.7461223006248474,0.7487876415252686,0.7315430045127869,0.7363898158073425,0.7407711148262024,0.7378727793693542,0.7396005392074585,0.7408736944198608
3,0.8058077096939087,0.796991765499115,0.8050825595855713,0.8054549098014832,0.8060826063156128,0.7933120131492615,0.8035857677459717,0.7972615957260132,0.7974644303321838,0.8016219139099121,0.8012665271759033
4,0.8359957933425903,0.8243244290351868,0.8319266438484192,0.833691418170929,0.8321475982666016,0.8249906301498413,0.8289861679077148,0.8264923691749573,0.8221427202224731,0.8296724557876587,0.8290370225906372
5,0.8531938195228577,0.8446033000946045,0.8512481451034546,0.8505488634109497,0.8507111072540283,0.8449940085411072,0.8454122543334961,0.8456522226333618,0.8358834385871887,0.8486942052841187,0.8470941364765168
6,0.8669017553329468,0.8588281869888306,0.8669599890708923,0.8644825220108032,0.8644899725914001,0.8588504791259766,0.8591310977935791,0.8599148988723755,0.847572922706604,0.8643766045570374,0.8611508429050445
7,0.8779461979866028,0.8714529275894165,0.8798723220825195,0.8762375712394714,0.8754050731658936,0.8714413046836853,0.8698765635490417,0.8713122010231018,0.8599796295166016,0.8763824105262756,0.8729906201362609
8,0.8873111605644226,0.8837589025497437,0.8907270431518555,0.886434018611908,0.8863580226898193,0.8817353248596191,0.8799465894699097,0.8812934160232544,0.8724616169929504,0.8871191740036011,0.8837145268917084
9,0.8955358862876892,0.8940763473510742,0.9008094072341919,0.8954892754554749,0.8957754969596863,0.8916321992874146,0.8888223171234131,0.8898361921310425,0.8837199211120605,0.895848274230957,0.8931545317173004
10,0.9035025835037231,0.9031253457069397,0.909747838973999,0.9035664796829224,0.9040690660476685,0.8996519446372986,0.8968675136566162,0.8982255458831787,0.8922393321990967,0.9044415950775146,0.9015437245368958
11,0.9121556878089905,0.911067545413971,0.9177322387695312,0.910919725894928,0.9120566248893738,0.9073609113693237,0.9055731892585754,0.9056947231292725,0.9002571105957031,0.9120819568634033,0.9094899713993072
12,0.9202024936676025,0.9179263710975647,0.9245942234992981,0.9178093671798706,0.91927570104599,0.9144498109817505,0.9131552577018738,0.9122874736785889,0.9077389240264893,0.9187504649162292,0.9166190087795257
13,0.9265995025634766,0.9250117540359497,0.9314267635345459,0.9246397018432617,0.9256913661956787,0.9206559658050537,0.9200880527496338,0.9190660119056702,0.9146395921707153,0.9259212017059326,0.9233739912509918
14,0.9324932098388672,0.9309259057044983,0.9370498657226562,0.9303857088088989,0.9319652915000916,0.926635205745697,0.9262363910675049,0.925266683101654,0.9209544062614441,0.9312800168991089,0.9293192684650421
15,0.9374001622200012,0.9353207349777222,0.9426403045654297,0.9354419708251953,0.937255859375,0.9323591589927673,0.9317231774330139,0.9307861328125,0.9260523319244385,0.9370283484458923,0.9346008181571961
16,0.941796064376831,0.9402129054069519,0.9469112753868103,0.9407430291175842,0.9411735534667969,0.9368150234222412,0.9368809461593628,0.9354457855224609,0.9304634928703308,0.9415690898895264,0.9392011165618896
17,0.9460611343383789,0.9450255632400513,0.9507200717926025,0.9455946683883667,0.9458844661712646,0.941559374332428,0.9415322542190552,0.9398596286773682,0.9336647391319275,0.9458449482917786,0.9435746848583222
