epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
1,0.5080694556236267,0.510040819644928,0.5110843181610107,0.5070145726203918,0.5104771852493286,0.5082519054412842,0.5083630681037903,0.5109553933143616,0.5102072358131409,0.5094164609909058,0.5093880414962768
2,0.55318284034729,0.5502365827560425,0.5434926152229309,0.5334340333938599,0.5539418458938599,0.5374628305435181,0.5427486896514893,0.5478475093841553,0.5368592739105225,0.5479336380958557,0.5447139859199523
3,0.5914297699928284,0.5879966616630554,0.5882589817047119,0.5743260383605957,0.598177969455719,0.5790333151817322,0.5890352725982666,0.5953410863876343,0.575977623462677,0.5867478251457214,0.5866324543952942
4,0.6163202524185181,0.6146171689033508,0.610837996006012,0.5945176482200623,0.6219366788864136,0.6023088693618774,0.6128346920013428,0.6165431141853333,0.5967048406600952,0.617207944393158,0.6103829205036163
5,0.6341250538825989,0.6346845626831055,0.629541277885437,0.615588903427124,0.6394646763801575,0.6223373413085938,0.6329700350761414,0.6332778930664062,0.6146590113639832,0.6384962797164917,0.629514503479004
6,0.6462047100067139,0.6504456400871277,0.6450269818305969,0.6281703114509583,0.6541516184806824,0.63722163438797,0.647429883480072,0.6485944390296936,0.6267205476760864,0.6548236608505249,0.6438789427280426
7,0.6572615504264832,0.6640942096710205,0.6571330428123474,0.6388480067253113,0.6640560030937195,0.6488783359527588,0.659002959728241,0.6596900820732117,0.6364809274673462,0.6686013340950012,0.6554046452045441
8,0.6657726764678955,0.6748480200767517,0.6675729751586914,0.6470335125923157,0.6735131144523621,0.6586407423019409,0.6683917045593262,0.6693069934844971,0.6451671123504639,0.6790966391563416,0.6649343490600585
9,0.6730696558952332,0.6846680045127869,0.676376461982727,0.6544896960258484,0.6820864081382751,0.6673968434333801,0.676523745059967,0.67817223072052,0.6524614691734314,0.68782639503479,0.6733070909976959
10,0.6800902485847473,0.6926520466804504,0.6855214834213257,0.66218501329422,0.689953088760376,0.6752421259880066,0.6849592328071594,0.6861475110054016,0.6598433256149292,0.6969953179359436,0.681358939409256
11,0.6864067316055298,0.7004803419113159,0.6926604509353638,0.6687780022621155,0.696020781993866,0.681830644607544,0.6923362612724304,0.6921131610870361,0.6674798727035522,0.7046652436256409,0.6882771492004395
12,0.6917502284049988,0.7071990370750427,0.6992319822311401,0.6761971712112427,0.7025196552276611,0.6877064108848572,0.699311375617981,0.6981098651885986,0.6748818755149841,0.7110803127288818,0.6947987914085388
13,0.6969120502471924,0.7139366269111633,0.705563485622406,0.6819455623626709,0.708735466003418,0.6933133602142334,0.7055005431175232,0.7032253742218018,0.6810742616653442,0.7175456881523132,0.7007752418518066
14,0.7019049525260925,0.7187058329582214,0.7121264934539795,0.6879559755325317,0.7144163846969604,0.6993606686592102,0.7106080651283264,0.7086182832717896,0.6864794492721558,0.7237558364868164,0.7063931941986084
15,0.7069084644317627,0.7242748737335205,0.7174516320228577,0.6932677626609802,0.7200725078582764,0.7043341398239136,0.7161250710487366,0.7132412791252136,0.6911612749099731,0.7287646532058716,0.7115601658821106
16,0.7110700607299805,0.7297081351280212,0.7229257822036743,0.6978066563606262,0.7257791757583618,0.7083552479743958,0.7207282185554504,0.7180258631706238,0.6968914866447449,0.7345171570777893,0.7165807783603668
17,0.7153676152229309,0.734821617603302,0.7272104620933533,0.7024233937263489,0.7299461960792542,0.7126997709274292,0.7252579927444458,0.7218437790870667,0.7011125087738037,0.7401342988014221,0.7210817635059357
18,0.7192258238792419,0.7404918670654297,0.7310652732849121,0.706871747970581,0.7350459098815918,0.717434287071228,0.7291829586029053,0.7262532114982605,0.7053050398826599,0.7454017996788025,0.7256277918815612
19,0.723599374294281,0.7448328137397766,0.7355212569236755,0.7106736898422241,0.7395260334014893,0.7214629650115967,0.7327897548675537,0.7303407192230225,0.710073709487915,0.7509326934814453,0.729975301027298
20,0.727411150932312,0.7496601939201355,0.7384599447250366,0.7158929109573364,0.74385666847229,0.7258259654045105,0.7363656163215637,0.7347784042358398,0.7143720388412476,0.7562110424041748,0.7342833936214447
21,0.7316035032272339,0.7538323998451233,0.7426647543907166,0.7204501628875732,0.7482998967170715,0.7303412556648254,0.7397063970565796,0.7393983006477356,0.717815637588501,0.7601929903030396,0.73843052983284
22,0.7349258661270142,0.7578328251838684,0.7458999752998352,0.7243314385414124,0.7522242665290833,0.7337492108345032,0.742599606513977,0.7433965802192688,0.7219852209091187,0.7640464305877686,0.7420991420745849
23,0.7385303378105164,0.7613306641578674,0.7497703433036804,0.7283141016960144,0.7562885284423828,0.737528383731842,0.7462174892425537,0.7469942569732666,0.7254397869110107,0.7680359482765198,0.7458449840545655
24,0.7426282167434692,0.7656436562538147,0.7543900609016418,0.7318800091743469,0.7596999406814575,0.7409632802009583,0.7495933175086975,0.750731885433197,0.7296080589294434,0.7709603905677795,0.7496098816394806
25,0.7465964555740356,0.7683666348457336,0.7582387924194336,0.7353000044822693,0.7635523080825806,0.7437170743942261,0.7525889277458191,0.753970205783844,0.7329918742179871,0.7740604877471924,0.7529382765293121
26,0.7508065700531006,0.77143794298172,0.7618968486785889,0.7390255331993103,0.767177939414978,0.7470985651016235,0.7557384371757507,0.7564888000488281,0.7365571856498718,0.776934027671814,0.7563161849975586
27,0.7543002963066101,0.7743244171142578,0.7654613256454468,0.7429787516593933,0.7708094716072083,0.7495898604393005,0.7597857117652893,0.7602415084838867,0.7397952675819397,0.7807685136795044,0.7598055124282836
28,0.7588059902191162,0.7772598266601562,0.768696129322052,0.7463905811309814,0.7738870978355408,0.7528867721557617,0.7627831101417542,0.7631053924560547,0.7423118352890015,0.7834431529045105,0.7629569888114929
29,0.7617422938346863,0.7798539400100708,0.77214515209198,0.7497732043266296,0.7764700055122375,0.7563064694404602,0.7660647630691528,0.7653999328613281,0.7456429600715637,0.7858485579490662,0.7659247279167175
30,0.765940248966217,0.7827046513557434,0.7747489809989929,0.7524154782295227,0.7803509831428528,0.7589078545570374,0.7686854004859924,0.7689427137374878,0.7483658790588379,0.7892150282859802,0.7690277218818664
31,0.768904983997345,0.7853070497512817,0.7779837250709534,0.7550067901611328,0.7825405597686768,0.761538565158844,0.7723376750946045,0.7713006138801575,0.7511016130447388,0.7918957471847534,0.7717917323112488
