batch_size,dropout_rate,max_val_auc
17,0.13759110802855856,0.7984338800112406
52,0.3680089199546708,0.7683581610520681
66,0.39429315622936223,0.7688438395659128
108,0.3523251170156041,0.7762956321239471
152,0.31960138056018556,0.7802587846914927
152,0.44912052771082384,0.7479662994543711
175,0.06478533503391709,0.800130287806193
188,0.04286221708639837,0.7895314494768778
190,0.45616620160618715,0.7562360068162283
216,0.3379021326158992,0.7788906594117483
220,0.016201460790888855,0.8010154366493225
231,0.3812058450901744,0.7683964471022288
240,0.1284164408541187,0.8011312385400137
246,0.14546188233016216,0.7981295585632324
252,0.3102375477069211,0.78890327612559
274,0.3769117817026063,0.7707038621107737
315,0.30245159252136855,0.7906232674916586
318,0.2599403179057646,0.7914920548597971
350,0.3724464387082559,0.7720854083697001
372,0.03737889793874554,0.7997014423211416
373,0.37268258648497715,0.7728843788305918
396,0.447470578335197,0.753893107175827
401,0.23126040688192015,0.794610470533371
402,0.3239287468633696,0.7721395492553711
414,0.20110401979788495,0.7860237658023834
422,0.06581764231580128,0.7826325992743174
423,0.4649083735785477,0.7557533184687296
503,0.31733379732301753,0.7866535286108652
524,0.169165877371786,0.7964760859807333
549,0.3081855954041671,0.7802783747514089
553,0.12643523621541697,0.798355907201767
553,0.3337352301949998,0.7842238446076711
592,0.12172896561109994,0.7897387246290842
620,0.3511253313817173,0.776458611090978
632,0.014672802679681008,0.7936551868915558
659,0.38975244106742724,0.7803332209587097
663,0.42056773133719483,0.761393258968989
674,0.33431526972895637,0.7827286819616953
691,0.23320452369899455,0.7812105715274811
694,0.14095465706789417,0.7941184639930725
704,0.10917256971219241,0.8011687894662222
725,0.4898938360808346,0.7511211136976877
728,0.49989333259421403,0.7437032759189606
742,0.18904210832829396,0.7908093333244324
771,0.02975302074480797,0.7988187670707703
792,0.13119180033266806,0.7915472288926443
828,0.169347958261719,0.7919395963350931
895,0.08177228898982053,0.8012685179710388
899,0.2917646443370218,0.7819974025090536
907,0.3080371210303378,0.7874251306056976
929,0.11141238132347708,0.7953340212504069
944,0.12985602545747504,0.7953491707642873
953,0.08890064033815036,0.7930138011773428
965,0.2925694785847238,0.7872608204682668
1002,0.42297465909939513,0.7571266194184622
1017,0.4042378102953294,0.7583837111790975
1093,0.18606442122227224,0.7907872299353281
1110,0.4821150334319853,0.7498610119024912
1113,0.4464515617519883,0.7610293130079905
1114,0.2581081814614625,0.7998210887114207
1123,0.18770029482107403,0.7940201560656229
1128,0.11438392667240266,0.788900891939799
1143,0.12816312484235065,0.8047231038411459
1200,0.051424148211767357,0.7940891782442728
1213,0.19936088970848825,0.8029904663562775
1222,0.06107873804308293,0.7984234591325124
1232,0.3608139274263473,0.7768093347549438
1252,0.22284567287235169,0.8021498719851176
1270,0.03562223478409954,0.787558376789093
1297,0.22463218445855723,0.7972327967484792
1308,0.38670637187992085,0.7680695255597433
1326,0.40632923945132754,0.7631514668464661
1327,0.14511673948299006,0.8034322460492452
1361,0.3605789551089133,0.7693999409675598
1403,0.3980458706795398,0.7642122705777487
1414,0.08940736263026344,0.7973330616950989
1430,0.041760383778181254,0.7992008328437805
1434,0.0350848804180258,0.7899467448393503
1493,0.2578273767596116,0.7909721632798513
1509,0.2406118697753616,0.7871096630891165
1540,0.09311357264251524,0.7990975777308146
1599,0.20450534699237183,0.8082009057203928
1635,0.154483275528203,0.7861989239851633
1654,0.3798564491606612,0.7725462516148885
1662,0.3933032739134078,0.7585622270901998
1663,0.0259727374147853,0.7861993412176768
1690,0.14799262109004735,0.7984904646873474
1698,0.32369306262873077,0.7787193457285563
1707,0.1307048038493988,0.7940717140833536
1708,0.4033225750747408,0.7641900877157847
1732,0.053296256707747736,0.7808662156263987
1736,0.36221175048405174,0.7776094575723013
1747,0.21312004669817752,0.7957160969575247
1846,0.04180452391706835,0.7922364374001821
1846,0.31528199634582765,0.776764045159022
1852,0.1289570738556781,0.7939462661743164
1888,0.21933964138972928,0.8016549249490103
1895,0.3086703585287762,0.7886609633763632
1907,0.4914337102473828,0.7537090480327606
1937,0.139839680720692,0.7938499252001444
1947,0.20739676728937578,0.7961821655432383
1951,0.2810496041433333,0.7882862587769827
1958,0.16968093634911133,0.8052726884682974
1995,0.08150474114002365,0.7978827754656473
2001,0.194243497539986,0.7915102740128835
2009,0.10061578442603508,0.7949380973974863
2011,0.4798432594825027,0.7431316673755646
2040,0.3291780365300927,0.7910414437452952
