epochs,fold1,fold2,fold3,fold4,fold5,fold6,fold7,fold8,fold9,fold10,avg
1,0.505636990070343,0.49390628933906555,0.5047181844711304,0.5083816647529602,0.5105704665184021,0.5099263787269592,0.5108858942985535,0.5086191892623901,0.5054166316986084,0.5082228183746338,0.5066284507513046
2,0.541519045829773,0.5176779627799988,0.5679301023483276,0.5239548087120056,0.5477277636528015,0.5364505052566528,0.5148918628692627,0.546234667301178,0.5313389897346497,0.5610607862472534,0.5388786494731903
3,0.6269522309303284,0.559411883354187,0.6496663689613342,0.6010116934776306,0.6340325474739075,0.6164181232452393,0.5683906674385071,0.611220121383667,0.6059046983718872,0.6480798125267029,0.6121088147163392
4,0.6968084573745728,0.6311032772064209,0.6842305660247803,0.6929171085357666,0.6824191212654114,0.6937921643257141,0.6436356902122498,0.6881390810012817,0.681878924369812,0.6938614249229431,0.6788785815238952
5,0.7150847911834717,0.6850680112838745,0.7281837463378906,0.7252912521362305,0.7199216485023499,0.7229626774787903,0.7023599743843079,0.7225366830825806,0.723634660243988,0.7307193279266357,0.7175762772560119
6,0.7365492582321167,0.7206335067749023,0.746943473815918,0.75233393907547,0.7393643260002136,0.741212010383606,0.7305383682250977,0.7549140453338623,0.7564489841461182,0.7553747296333313,0.7434312641620636
7,0.7625995874404907,0.7466135025024414,0.7674831748008728,0.7690703868865967,0.7648147940635681,0.7492730021476746,0.7665293216705322,0.7668339014053345,0.7736976146697998,0.7736256122589111,0.7640540897846222
8,0.7805185317993164,0.7670345902442932,0.778317391872406,0.7945670485496521,0.7869943976402283,0.7616801857948303,0.7790809273719788,0.7866881489753723,0.7856888175010681,0.7890185117721558,0.7809588551521301
9,0.7927420735359192,0.7791609764099121,0.7911115884780884,0.8057764768600464,0.8021969199180603,0.7860023975372314,0.7960024476051331,0.7996609210968018,0.8023051023483276,0.7978821396827698,0.795284104347229
10,0.8093256950378418,0.7976130843162537,0.8065096735954285,0.8195428848266602,0.8026162385940552,0.8019444942474365,0.8025286197662354,0.813251256942749,0.8203973174095154,0.8129872679710388,0.8086716532707214
11,0.820568323135376,0.7992650866508484,0.80900639295578,0.8248817920684814,0.8133127689361572,0.8088151812553406,0.8104043006896973,0.8248786926269531,0.8286183476448059,0.8269841074943542,0.8166734993457794
12,0.8275824785232544,0.8066539764404297,0.8262708187103271,0.830626368522644,0.8180477619171143,0.8223608732223511,0.8187239170074463,0.8229812979698181,0.8246710896492004,0.8318440914154053,0.822976267337799
13,0.8329735994338989,0.8291027545928955,0.8419330716133118,0.8307268023490906,0.8245683908462524,0.8211216926574707,0.8173973560333252,0.8299572467803955,0.841274082660675,0.8446176648139954,0.8313672661781311
14,0.8401169776916504,0.8386244773864746,0.8462664484977722,0.7997214794158936,0.8262067437171936,0.832814633846283,0.8243494629859924,0.8244532346725464,0.8455002903938293,0.8446932435035706,0.8322746992111206
15,0.8484311699867249,0.8468997478485107,0.8553221821784973,0.8332782983779907,0.8430905938148499,0.8383181095123291,0.8348280787467957,0.841421365737915,0.8561760783195496,0.8438769578933716,0.8441642582416534
16,0.8556950688362122,0.858050525188446,0.8623310923576355,0.832753598690033,0.8548448085784912,0.8461921215057373,0.8401540517807007,0.8564000725746155,0.8579549789428711,0.8541162014007568,0.85184925198555
17,0.862415075302124,0.856819212436676,0.8616189360618591,0.8385565280914307,0.8552043437957764,0.843458890914917,0.8526037931442261,0.8606147170066833,0.8657386302947998,0.8484883308410645,0.8545518457889557
18,0.8588788509368896,0.8517787456512451,0.8615231513977051,0.8417676091194153,0.8616571426391602,0.8462636470794678,0.8585115671157837,0.8627565503120422,0.8703776001930237,0.8488144278526306,0.8562329292297364
19,0.8616279363632202,0.8592454195022583,0.8657315373420715,0.8174527883529663,0.8661487102508545,0.8531417846679688,0.8627828359603882,0.8556960225105286,0.8673551082611084,0.8288973569869995,0.8538079500198364
20,0.8629024028778076,0.8688538074493408,0.8628376126289368,0.8300540447235107,0.8756628632545471,0.8577396869659424,0.8710474967956543,0.8513948917388916,0.8667654395103455,0.8418160676956177,0.8589074313640594
21,0.8511784076690674,0.8711219429969788,0.8663288354873657,0.8562367558479309,0.8751319646835327,0.8595572710037231,0.8671620488166809,0.8723838329315186,0.8645405769348145,0.8480700850486755,0.8631711721420288
22,0.8443939089775085,0.8630237579345703,0.8679715991020203,0.8642046451568604,0.8775173425674438,0.866667628288269,0.8761941194534302,0.8748055696487427,0.8625036478042603,0.8419478535652161,0.8639230072498322
23,0.8546412587165833,0.8642388582229614,0.851775050163269,0.8690235614776611,0.8759617805480957,0.8616483211517334,0.882636308670044,0.875577986240387,0.8566387891769409,0.8451955318450928,0.8637337446212768
24,0.8637244701385498,0.8736824989318848,0.8645257949829102,0.8663138151168823,0.8654021620750427,0.8720868825912476,0.88004070520401,0.8744032382965088,0.8349255919456482,0.8563940525054932,0.8651499211788177
25,0.8655135631561279,0.8728275299072266,0.8711029887199402,0.870832085609436,0.8364396691322327,0.8738150596618652,0.8731436133384705,0.8742967247962952,0.8411281108856201,0.8619978427886963,0.8641097187995911
26,0.8740202784538269,0.8708061575889587,0.868999719619751,0.8689026832580566,0.8305834531784058,0.8739166259765625,0.8772761821746826,0.881685733795166,0.8327715396881104,0.8762596249580383,0.8655221998691559
27,0.873680830001831,0.8605821132659912,0.8722677826881409,0.8783981800079346,0.851865291595459,0.8745154738426208,0.8678783774375916,0.879483163356781,0.8111231327056885,0.8785698413848877,0.8648364186286926
28,0.869881272315979,0.8688428401947021,0.8767111301422119,0.875963032245636,0.868438720703125,0.8763099312782288,0.870720624923706,0.872216522693634,0.784771740436554,0.8853824138641357,0.8649238228797913
29,0.8704205751419067,0.8732956647872925,0.8778494596481323,0.8809476494789124,0.8712201714515686,0.8723910450935364,0.8589175343513489,0.872555136680603,0.8255380988121033,0.8853520750999451,0.8688487410545349
30,0.8628061413764954,0.8671729564666748,0.8791173100471497,0.8837519884109497,0.8705323338508606,0.8719184398651123,0.8667368292808533,0.8490492701530457,0.8293313980102539,0.8782163262367249,0.865863299369812
31,0.8716609477996826,0.8608171939849854,0.8711515069007874,0.8824535608291626,0.8658231496810913,0.8621386885643005,0.8461991548538208,0.856325089931488,0.8375895023345947,0.8855074048042297,0.8639666199684143
32,0.8738673329353333,0.849712073802948,0.8594425916671753,0.8870599269866943,0.8588783740997314,0.8566440939903259,0.8367627859115601,0.8498702645301819,0.8323971629142761,0.8903597593307495,0.8594994366168975
33,0.8652905821800232,0.8563793301582336,0.8615531325340271,0.8891203999519348,0.8417239785194397,0.8434231877326965,0.8354915976524353,0.8497666120529175,0.8243744373321533,0.89626145362854,0.8563384711742401
34,0.8581154346466064,0.8416158556938171,0.8586066365242004,0.8925449848175049,0.8494270443916321,0.8720725178718567,0.8468473553657532,0.8471211194992065,0.858130931854248,0.8875502943992615,0.8612032175064087
35,0.8533350825309753,0.796820342540741,0.8462712168693542,0.8862433433532715,0.854741632938385,0.8777896165847778,0.8484857082366943,0.862251877784729,0.8550007343292236,0.8967713117599487,0.8577710866928101
