epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.49998193979263306,0.5213848948478699,0.5111092925071716,0.5094859004020691,0.5032210350036621,0.5022355914115906,0.507903108994166
2,0.5366366505622864,0.570629358291626,0.5473828315734863,0.5365144610404968,0.5514901280403137,0.5385941863059998,0.5468746026357015
3,0.5997370481491089,0.6542235612869263,0.6372426748275757,0.6146369576454163,0.6334894895553589,0.59722501039505,0.6227591236432394
4,0.6828530430793762,0.7180991172790527,0.71071457862854,0.6900611519813538,0.7075133919715881,0.6926770210266113,0.7003197173277537
5,0.7338122129440308,0.7479115724563599,0.7506636381149292,0.7201529741287231,0.7432562112808228,0.7432936429977417,0.7398483753204346
6,0.7615787386894226,0.7741962671279907,0.780148446559906,0.7513093948364258,0.7725862264633179,0.7660122513771057,0.7676385541756948
7,0.782905101776123,0.7999943494796753,0.7938098311424255,0.785722553730011,0.7978713512420654,0.7963109612464905,0.7927690247694651
8,0.800948441028595,0.8104498386383057,0.8050663471221924,0.7962322235107422,0.8178997039794922,0.8090692758560181,0.8066109716892242
9,0.8188863396644592,0.8271768093109131,0.8287254571914673,0.8071449995040894,0.83046954870224,0.8165178298950195,0.8214868307113647
10,0.8267347812652588,0.8218116760253906,0.8465412855148315,0.8160257339477539,0.8419103622436523,0.8288482427597046,0.8303120136260986
11,0.8371973037719727,0.8351902365684509,0.8504447937011719,0.8185128569602966,0.8549919128417969,0.8350563049316406,0.8385655681292216
12,0.8541587591171265,0.8481820821762085,0.8644347786903381,0.8395178318023682,0.8580213189125061,0.8540251851081848,0.8530566593011221
13,0.8667539358139038,0.8633849620819092,0.873304009437561,0.8528459072113037,0.8691062927246094,0.8621150851249695,0.8645850320657095
14,0.8760776519775391,0.8565077185630798,0.8839548826217651,0.8649848103523254,0.8806838393211365,0.8658878207206726,0.8713494539260864
15,0.8779748678207397,0.8185889720916748,0.8902319669723511,0.8731938600540161,0.8872015476226807,0.8685169219970703,0.8692846894264221
16,0.8861982226371765,0.8427108526229858,0.8975989818572998,0.8738569021224976,0.8880596160888672,0.8519704341888428,0.873399168252945
17,0.880720317363739,0.8763725757598877,0.9010791778564453,0.8678586483001709,0.887349545955658,0.8444828391075134,0.8763105173905691
18,0.8700217604637146,0.8794482946395874,0.9065706729888916,0.8717719316482544,0.901263952255249,0.8387101292610168,0.877964456876119
19,0.8845450282096863,0.8913677930831909,0.9014536738395691,0.8871974945068359,0.9099390506744385,0.8678655028343201,0.8903947571913401
20,0.8985892534255981,0.897938072681427,0.9046953916549683,0.902441680431366,0.9058840870857239,0.8829819560050964,0.8987550735473633
