epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.4991341829299927,0.5054940581321716,0.51100093126297,0.5129320025444031,0.508058488368988,0.503269612789154,0.5066482126712799
2,0.5353329181671143,0.5534231662750244,0.5793700814247131,0.5752789378166199,0.5227850675582886,0.5540868043899536,0.553379495938619
3,0.6012023091316223,0.639948844909668,0.6678906679153442,0.6334795355796814,0.5503647327423096,0.6493594646453857,0.6237075924873352
4,0.6830064654350281,0.7062984108924866,0.7245624661445618,0.6974107623100281,0.6052778959274292,0.7158504724502563,0.6887344121932983
5,0.75094074010849,0.7543041706085205,0.7728894948959351,0.7469485998153687,0.6684951186180115,0.7419329285621643,0.739251842101415
6,0.7827242612838745,0.7770441770553589,0.7899664044380188,0.7742536067962646,0.7173117399215698,0.7600935101509094,0.7668989499409994
7,0.8048697113990784,0.798410952091217,0.8068611025810242,0.7954567074775696,0.7555548548698425,0.7815126776695251,0.7904443343480428
8,0.8226877450942993,0.8118714690208435,0.823643147945404,0.8131746053695679,0.7881399989128113,0.8067288398742676,0.8110409677028656
9,0.833496630191803,0.8188863396644592,0.8374135494232178,0.8303238153457642,0.8023102283477783,0.8136582374572754,0.8226814667383829
10,0.8477878570556641,0.8313648700714111,0.8516488671302795,0.8464717864990234,0.8133617639541626,0.8272262215614319,0.8363102277119955
11,0.8545560240745544,0.850310206413269,0.8660510182380676,0.8579331040382385,0.8246498107910156,0.8376969695091248,0.8485328555107117
12,0.8656277060508728,0.8538848757743835,0.8682253360748291,0.8726065158843994,0.8231189250946045,0.8556051254272461,0.8565114140510559
13,0.8686250448226929,0.8558082580566406,0.8741940259933472,0.8778824210166931,0.8401876091957092,0.8666460514068604,0.8638905684153239
14,0.8686918616294861,0.8735980987548828,0.8788436651229858,0.8870879411697388,0.8521521687507629,0.8752047419548035,0.87259641289711
15,0.855259120464325,0.8809270858764648,0.8904019594192505,0.8937781453132629,0.8613534569740295,0.8833281993865967,0.8775079945723215
16,0.8600174784660339,0.8847813606262207,0.8940674662590027,0.9000599980354309,0.8762755393981934,0.8941845297813416,0.8848977287610372
17,0.8767275214195251,0.8973034620285034,0.8869950771331787,0.8996448516845703,0.8843130469322205,0.9044077396392822,0.8915652831395467
18,0.8898547291755676,0.9101693630218506,0.8475236892700195,0.909938395023346,0.8906958103179932,0.9074806571006775,0.8926104406515757
19,0.9043474197387695,0.9168619513511658,0.8827483654022217,0.9198360443115234,0.9030339121818542,0.9127054214477539,0.9065888524055481
20,0.9130123853683472,0.9227683544158936,0.8838073015213013,0.9100735783576965,0.9084817171096802,0.8869572877883911,0.904183437426885
