epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.5078992247581482,0.5005528926849365,0.5023334622383118,0.5118216276168823,0.5053592324256897,0.5092764496803284,0.5062071482340494
2,0.524956464767456,0.5225132703781128,0.5184743404388428,0.5112541913986206,0.5189152956008911,0.5215867161750793,0.5196167131265005
3,0.5603957772254944,0.5539352893829346,0.5642316341400146,0.5599378943443298,0.5784451365470886,0.5525715351104736,0.5615862111250559
4,0.6293884515762329,0.6180479526519775,0.6374195218086243,0.6146137714385986,0.6499468684196472,0.5940473079681396,0.62391064564387
5,0.6845488548278809,0.6796011328697205,0.6865838766098022,0.6662675142288208,0.6989553570747375,0.665715754032135,0.6802787482738495
6,0.708762526512146,0.7070305943489075,0.7155783772468567,0.6817569732666016,0.7254138588905334,0.6916501522064209,0.705032080411911
7,0.7334337830543518,0.728509783744812,0.7311068177223206,0.7086918950080872,0.7447113394737244,0.7127118706703186,0.726527581612269
8,0.7538267970085144,0.7464799284934998,0.7498362064361572,0.7361767292022705,0.7478859424591064,0.732433557510376,0.7444398601849874
9,0.762035608291626,0.7445278167724609,0.7675706148147583,0.7434505224227905,0.7631457448005676,0.7431285381317139,0.7539764742056528
10,0.7757195830345154,0.7653710246086121,0.7854949235916138,0.7640544176101685,0.7633664011955261,0.751469612121582,0.7675793270270029
11,0.7867745161056519,0.7727360725402832,0.7998714447021484,0.771614134311676,0.7819945216178894,0.774623453617096,0.7812690238157908
12,0.7950806617736816,0.7824464440345764,0.8086276650428772,0.7780588865280151,0.776824414730072,0.7809975147247314,0.7870059311389923
13,0.8040821552276611,0.7879084944725037,0.8112402558326721,0.7752228379249573,0.7940430045127869,0.7861682772636414,0.7931108375390371
14,0.8086191415786743,0.7959516048431396,0.8235931992530823,0.7861368060112,0.7999069690704346,0.7940341234207153,0.8013736406962076
15,0.8186488747596741,0.7946447134017944,0.8230130672454834,0.8082836866378784,0.8161855340003967,0.8044672608375549,0.8108738561471304
16,0.8159084320068359,0.8024186491966248,0.8323295712471008,0.8092732429504395,0.8102858066558838,0.8118105530738831,0.8136710425217947
17,0.8208651542663574,0.7850337624549866,0.8295860290527344,0.8189417123794556,0.8158171772956848,0.8149058222770691,0.814191609621048
18,0.8171269297599792,0.8173775672912598,0.8374864459037781,0.8088935613632202,0.8103607892990112,0.817388653755188,0.8181056578954061
19,0.8175967931747437,0.8233588933944702,0.8455317616462708,0.8180213570594788,0.8135560750961304,0.8076992630958557,0.820960690577825
20,0.7606081366539001,0.8268181681632996,0.8419279456138611,0.8257754445075989,0.8267718553543091,0.828881025314331,0.8184637626012167
