epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.49827447533607483,0.49984660744667053,0.509207010269165,0.5128046274185181,0.5141239166259766,0.49708113074302673,0.505222961306572
2,0.5179046988487244,0.5262683033943176,0.5236130356788635,0.5098301768302917,0.5199399590492249,0.5052996277809143,0.517142633597056
3,0.5055286884307861,0.5856671333312988,0.5758355855941772,0.5288906693458557,0.5524495244026184,0.5167074799537659,0.5441798468430837
4,0.5217568278312683,0.6384807825088501,0.6444118022918701,0.5939988493919373,0.6048821210861206,0.553935706615448,0.592911014954249
5,0.581605851650238,0.6810920834541321,0.675593912601471,0.6462849378585815,0.6612922549247742,0.6202705502510071,0.6443565984567007
6,0.6391883492469788,0.7056698203086853,0.6967747211456299,0.6761060357093811,0.6934712529182434,0.6600464582443237,0.6785427729288737
7,0.6668172478675842,0.7236340641975403,0.719208836555481,0.7085854411125183,0.6995048522949219,0.6998602747917175,0.7029351194699606
8,0.6914657950401306,0.7435133457183838,0.7348398566246033,0.7204906940460205,0.7218185067176819,0.7124741077423096,0.7207670509815216
9,0.725595235824585,0.7407695055007935,0.7534833550453186,0.7487210631370544,0.7412553429603577,0.7337359189987183,0.7405934035778046
10,0.7393977642059326,0.7537946701049805,0.7626248598098755,0.7560120820999146,0.7470256686210632,0.7450538277626038,0.750651478767395
11,0.7511997818946838,0.7694976329803467,0.7706430554389954,0.7711778879165649,0.7562601566314697,0.7515224814414978,0.7617168327172598
12,0.7755059003829956,0.7674710154533386,0.77760910987854,0.7635905742645264,0.7713673710823059,0.7632419466972351,0.7697976529598236
13,0.7657625079154968,0.7806825637817383,0.7920161485671997,0.7605054378509521,0.7669511437416077,0.777793288230896,0.7739518483479818
14,0.7906867861747742,0.7854812741279602,0.7979182004928589,0.774329423904419,0.7841342091560364,0.7634925842285156,0.7826737463474274
15,0.793810248374939,0.7840050458908081,0.7986816763877869,0.7663339972496033,0.7889295220375061,0.7688987255096436,0.7834432025750478
16,0.785945475101471,0.800544261932373,0.7923969030380249,0.7869573831558228,0.7928065061569214,0.7777164578437805,0.7893944978713989
17,0.793771505355835,0.7968551516532898,0.8007596135139465,0.8016528487205505,0.8002545237541199,0.7798283696174622,0.7955203354358673
18,0.7874797582626343,0.8058669567108154,0.8044185638427734,0.809134304523468,0.8052507638931274,0.7814910411834717,0.7989402314027151
19,0.7790226340293884,0.8096668720245361,0.8193162679672241,0.8147904276847839,0.7968446016311646,0.7849458456039429,0.8007644414901733
20,0.7833485007286072,0.8230687379837036,0.8165774345397949,0.821449875831604,0.7791332602500916,0.8086080551147461,0.8053643107414246
