epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.5128998756408691,0.5082550644874573,0.5014291405677795,0.5135247707366943,0.5104334354400635,0.5102478861808777,0.5094650288422903
2,0.54898601770401,0.5496390461921692,0.5170114040374756,0.5618839263916016,0.5264654159545898,0.5262807607650757,0.5383777618408203
3,0.6133372187614441,0.6393359899520874,0.5948954820632935,0.6351207494735718,0.5861292481422424,0.5858046412467957,0.6091038882732391
4,0.6823347806930542,0.7185919284820557,0.6851894855499268,0.6874211430549622,0.6661422848701477,0.6450074315071106,0.6807811756928762
5,0.7368552684783936,0.7456872463226318,0.728190541267395,0.7256790995597839,0.7243010997772217,0.701453447341919,0.7270277837912241
6,0.7707737684249878,0.7819860577583313,0.7597010135650635,0.7499849796295166,0.751579999923706,0.7464320659637451,0.7600763142108917
7,0.7932658791542053,0.796642005443573,0.7754700183868408,0.7751976251602173,0.7637538909912109,0.7556184530258179,0.7766579786936442
8,0.7986476421356201,0.8073790669441223,0.7914755344390869,0.7959599494934082,0.795572817325592,0.785323441028595,0.7957264085610708
9,0.8188358545303345,0.8230541348457336,0.8110724687576294,0.801618754863739,0.8171994686126709,0.7992443442344666,0.811837504307429
10,0.832150399684906,0.8352479934692383,0.8311231136322021,0.8088047504425049,0.8249964118003845,0.814607560634613,0.8244883716106415
11,0.8225361108779907,0.8394279479980469,0.8413494229316711,0.817833662033081,0.8331388235092163,0.8235228061676025,0.8296347955862681
12,0.820485532283783,0.8553838729858398,0.8517150282859802,0.8406460285186768,0.8392748236656189,0.8327512145042419,0.8400427500406901
13,0.8145313262939453,0.858631432056427,0.8593873977661133,0.8475949764251709,0.8571404218673706,0.8410139679908752,0.846383253733317
14,0.8331650495529175,0.852192759513855,0.8688214421272278,0.8566691279411316,0.8560259938240051,0.8518178462982178,0.8531153698762258
15,0.8516334891319275,0.8639914989471436,0.8791874051094055,0.8655706644058228,0.8613393902778625,0.8591892719268799,0.8634852866331736
16,0.8614960312843323,0.8651036620140076,0.8883737921714783,0.8734022378921509,0.8752326965332031,0.8600946068763733,0.8706171711285909
17,0.8731009364128113,0.8552513718605042,0.8824538588523865,0.8783099055290222,0.8820474147796631,0.8764780759811401,0.8746069272359213
18,0.8728539347648621,0.8604844808578491,0.888945996761322,0.8837604522705078,0.8933872580528259,0.8824283480644226,0.880310078461965
19,0.8823301792144775,0.8927330374717712,0.8767380118370056,0.8931631445884705,0.8947734832763672,0.8852954506874084,0.8875055511792501
20,0.884341299533844,0.9002248048782349,0.8801903128623962,0.9044134616851807,0.9060702919960022,0.881892740726471,0.8928554852803549
