epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.5080872774124146,0.4949788451194763,0.5094240307807922,0.5045788884162903,0.5089840292930603,0.5023243427276611,0.5047295689582825
2,0.5171678066253662,0.5031649470329285,0.5102870464324951,0.5085656642913818,0.5067440867424011,0.5164113640785217,0.5103901525338491
3,0.5156729817390442,0.520706832408905,0.5128422975540161,0.5161088109016418,0.5145275592803955,0.5282865166664124,0.5180241664250692
4,0.5406745076179504,0.5313278436660767,0.5547502040863037,0.5248704552650452,0.5376903414726257,0.5482363700866699,0.5395916203657786
5,0.581121563911438,0.5523694753646851,0.5868341326713562,0.5587090849876404,0.5751937031745911,0.5739307403564453,0.571359783411026
6,0.6194990277290344,0.5994884371757507,0.6114869713783264,0.5802066326141357,0.6100473999977112,0.6022964119911194,0.6038374801476797
7,0.6318836808204651,0.6034144759178162,0.6445136070251465,0.6145821213722229,0.6168191432952881,0.634662389755249,0.624312569697698
8,0.64008629322052,0.6232379078865051,0.6538076996803284,0.6329370737075806,0.6497853398323059,0.6441760063171387,0.6406717201073965
9,0.6659367680549622,0.6469070911407471,0.6639957427978516,0.6516364812850952,0.663298487663269,0.6539750695228577,0.6576249400774637
10,0.6734125018119812,0.6475541591644287,0.672637939453125,0.6656429767608643,0.6677097678184509,0.6620242595672607,0.6648302674293518
11,0.6868009567260742,0.6589388251304626,0.6654292345046997,0.6737406849861145,0.6800700426101685,0.6598736643791199,0.6708089013894399
12,0.7034990191459656,0.6744744181632996,0.6689404845237732,0.6617686152458191,0.6778923869132996,0.6685747504234314,0.6758582790692648
13,0.7112846374511719,0.6834723353385925,0.6806748509407043,0.6825089454650879,0.7025339603424072,0.6786121129989624,0.6898478070894877
14,0.6971190571784973,0.6999892592430115,0.6957783102989197,0.6875285506248474,0.7033333778381348,0.67801433801651,0.6936271488666534
15,0.715424656867981,0.6954205632209778,0.7018597722053528,0.6813469529151917,0.7021122574806213,0.6839271187782288,0.6966818869113922
16,0.7170612812042236,0.7116717100143433,0.7203994393348694,0.6764923334121704,0.6918519735336304,0.6814664602279663,0.6998238662878672
17,0.7166566252708435,0.707890510559082,0.7149251103401184,0.7036263346672058,0.6894505620002747,0.6931242942810059,0.7042789061864217
18,0.7191908955574036,0.710982084274292,0.7189629077911377,0.7057115435600281,0.7154276967048645,0.7086719870567322,0.713157852490743
19,0.7252851128578186,0.6974432468414307,0.7268449664115906,0.7072333097457886,0.7071983814239502,0.7083497047424316,0.7120591203371683
20,0.7144542336463928,0.6928045749664307,0.7297784686088562,0.7163970470428467,0.7080022096633911,0.6872667670249939,0.7081172168254852
