epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.503717303276062,0.5119457840919495,0.5013186931610107,0.502710223197937,0.5116169452667236,0.5096828937530518,0.5068319737911224
2,0.5107893347740173,0.5129663944244385,0.5207364559173584,0.5090179443359375,0.5318464636802673,0.507359504699707,0.5154526829719543
3,0.54042649269104,0.5417530536651611,0.5445134043693542,0.5345645546913147,0.5736896991729736,0.5516765117645264,0.547770619392395
4,0.5774365067481995,0.6116178035736084,0.5977146625518799,0.5718706846237183,0.6149570345878601,0.619866669178009,0.5989105602105459
5,0.6330074071884155,0.648004949092865,0.6326339244842529,0.60709547996521,0.6500691175460815,0.660812497138977,0.6386038959026337
6,0.6663417220115662,0.6749732494354248,0.6758467555046082,0.6555002927780151,0.6913459300994873,0.7001726627349854,0.6773634354273478
7,0.6959742903709412,0.6849191188812256,0.6986358165740967,0.6662987470626831,0.7073987126350403,0.7113577723503113,0.6940974096457163
8,0.7087900042533875,0.7090060114860535,0.699681282043457,0.6868818402290344,0.7143676280975342,0.7109214663505554,0.7049413720766703
9,0.7068870067596436,0.7159811854362488,0.7075539231300354,0.7010590434074402,0.71431964635849,0.7265195846557617,0.7120533982912699
10,0.7193257808685303,0.7207388877868652,0.7115068435668945,0.7142410278320312,0.7309677600860596,0.7354529500007629,0.7220388750235239
11,0.7376015782356262,0.7364833354949951,0.7356370687484741,0.7267940044403076,0.7387215495109558,0.7443605065345764,0.7365996738274893
12,0.7372681498527527,0.7286444306373596,0.7500491738319397,0.7372552156448364,0.7397996783256531,0.754365086555481,0.741230289141337
13,0.7434142827987671,0.7446452975273132,0.7528630495071411,0.7408166527748108,0.736236572265625,0.765090823173523,0.74717777967453
14,0.7408611178398132,0.7511458396911621,0.753628671169281,0.7384980916976929,0.7330372929573059,0.7622023820877075,0.7465622325738271
15,0.7311501502990723,0.7551971673965454,0.7691164016723633,0.7604732513427734,0.7438898682594299,0.7649703621864319,0.754132866859436
16,0.7644447684288025,0.7621488571166992,0.773026168346405,0.7644742727279663,0.7519824504852295,0.7658019661903381,0.7636464138825735
17,0.7674261927604675,0.7738639712333679,0.7598042488098145,0.7688888907432556,0.7582170963287354,0.7635427117347717,0.7652905186017355
18,0.7723411917686462,0.766361653804779,0.7728040218353271,0.7704663276672363,0.7687334418296814,0.7697322368621826,0.7700731456279755
19,0.7705025672912598,0.7779375314712524,0.7646876573562622,0.7607224583625793,0.7629535794258118,0.781225323677063,0.7696715195973715
20,0.7474496364593506,0.7712075114250183,0.7766608595848083,0.7628929018974304,0.7549527287483215,0.7739385962486267,0.7645170390605927
