epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.5028436779975891,0.5086302757263184,0.5026974081993103,0.5087225437164307,0.5062640309333801,0.5082085132598877,0.5062277416388193
2,0.5334905982017517,0.5292037129402161,0.5234788656234741,0.5226206183433533,0.5198037624359131,0.5393335819244385,0.5279885232448578
3,0.6121201515197754,0.582385778427124,0.5971696376800537,0.57627272605896,0.5878740549087524,0.6180773377418518,0.5956499477227529
4,0.6948397755622864,0.6663337349891663,0.6704893112182617,0.6604289412498474,0.6645179390907288,0.6905426383018494,0.67452539006869
5,0.7386689782142639,0.7140631675720215,0.7048150300979614,0.6972612738609314,0.7228133678436279,0.7297136783599854,0.7178892493247986
6,0.7566131353378296,0.7425414323806763,0.7437692284584045,0.7262527346611023,0.7529692053794861,0.7569665908813477,0.7465187211831411
7,0.7841465473175049,0.7586400508880615,0.7572948932647705,0.7642894387245178,0.772345244884491,0.7803577184677124,0.7695123155911764
8,0.7930223941802979,0.780989408493042,0.7829897403717041,0.7783789038658142,0.7874120473861694,0.7935051918029785,0.786049614350001
9,0.8101744055747986,0.801314115524292,0.8059774041175842,0.7842854857444763,0.8044493198394775,0.808178186416626,0.8023964862028757
10,0.8189680576324463,0.8099238872528076,0.8057458400726318,0.7943229675292969,0.8180853724479675,0.8131570816040039,0.8100338677565256
11,0.8310469388961792,0.8185523152351379,0.8136906623840332,0.8093464970588684,0.8300347924232483,0.8218819499015808,0.8207588593165079
12,0.8179528713226318,0.8319541215896606,0.8219993114471436,0.8207892179489136,0.8405530452728271,0.833003580570221,0.8277086913585663
13,0.8010444045066833,0.8421622514724731,0.8109980821609497,0.8327023386955261,0.8497143983840942,0.8425254821777344,0.8298578262329102
14,0.8268197178840637,0.8395249843597412,0.8265923261642456,0.8382428884506226,0.8635860085487366,0.847069501876831,0.8403059045473734
15,0.8507984280586243,0.8444618582725525,0.8399869799613953,0.8478050231933594,0.8528804779052734,0.8565602898597717,0.8487488428751627
16,0.8582392930984497,0.8638646006584167,0.8549709916114807,0.8556338548660278,0.8694393634796143,0.8668660521507263,0.8615023593107859
17,0.8600559234619141,0.8711086511611938,0.8590710163116455,0.8576866388320923,0.8779442310333252,0.8665505051612854,0.8654028276602427
18,0.8595467209815979,0.8771831393241882,0.8650392889976501,0.8751507997512817,0.8816622495651245,0.8445436954498291,0.8671876490116119
19,0.8695390820503235,0.8836144208908081,0.871584415435791,0.8789330720901489,0.891862154006958,0.8632376194000244,0.876461793979009
20,0.8736467361450195,0.8870312571525574,0.8784855604171753,0.8836923241615295,0.891922652721405,0.8317791819572449,0.8744262854258219
