epochs,fold1,fold2,fold3,fold4,fold5,fold6,avg
1,0.5091893076896667,0.4953877031803131,0.5076881647109985,0.5016185641288757,0.5078230500221252,0.5088256001472473,0.5050887316465378
2,0.5174079537391663,0.4974726438522339,0.5170280933380127,0.5216525793075562,0.5131313800811768,0.5215253829956055,0.5147030055522919
3,0.543579638004303,0.5327835083007812,0.5366861820220947,0.5481252074241638,0.5263689756393433,0.5405036807060242,0.5380078653494517
4,0.590714693069458,0.573419988155365,0.5663094520568848,0.5822985768318176,0.577936053276062,0.5779110789299011,0.578098307053248
5,0.643085241317749,0.6229667663574219,0.6303174495697021,0.6322409510612488,0.6179709434509277,0.6176030039787292,0.6273640592892965
6,0.6502595543861389,0.6422860622406006,0.6449708938598633,0.6685319542884827,0.6606488227844238,0.6584069132804871,0.6541840334733328
7,0.6797958612442017,0.6835657954216003,0.6829863786697388,0.6711636185646057,0.6888248920440674,0.6679853796958923,0.6790536542733511
8,0.6967951655387878,0.69508957862854,0.6953486800193787,0.698701024055481,0.6916205286979675,0.676189661026001,0.6922907729943594
9,0.7015608549118042,0.6938913464546204,0.7079355716705322,0.7047944664955139,0.7020702958106995,0.6909124851226807,0.7001941700776418
10,0.7033318877220154,0.7015832662582397,0.713459849357605,0.7166125774383545,0.7056902647018433,0.709918737411499,0.7084327638149261
11,0.7087953090667725,0.7187731266021729,0.7164319157600403,0.7120745182037354,0.7147647738456726,0.7167928218841553,0.7146054108937582
12,0.7220818996429443,0.7321345806121826,0.7283925414085388,0.7199891209602356,0.7183110117912292,0.7204066514968872,0.7235526343186697
13,0.7248959541320801,0.7351774573326111,0.7200268507003784,0.752342939376831,0.7207901477813721,0.7278244495391846,0.7301762998104095
14,0.7330790162086487,0.7288735508918762,0.7210685014724731,0.7438789010047913,0.7333805561065674,0.7171581387519836,0.72957311073939
15,0.7255766987800598,0.7308420538902283,0.7191303968429565,0.7519285678863525,0.7272167205810547,0.7079441547393799,0.7271064321200053
16,0.7271516919136047,0.7343498468399048,0.7156697511672974,0.7637462615966797,0.7445932626724243,0.713272750377655,0.7331305940945944
17,0.7337580323219299,0.7480139136314392,0.7241788506507874,0.7682754993438721,0.7453868389129639,0.7364873886108398,0.7426834205786387
18,0.7491063475608826,0.7538536787033081,0.7129542827606201,0.7717592716217041,0.7368301153182983,0.7380197048187256,0.7437539001305898
19,0.7474765777587891,0.76250821352005,0.7321312427520752,0.7455927729606628,0.7370462417602539,0.7538772821426392,0.746438721815745
20,0.7546524405479431,0.7719597816467285,0.7397616505622864,0.748455286026001,0.7267829179763794,0.7271479368209839,0.7447933355967203
